,lat,lon
179,37.7887345764,-122.406886504
180,37.7887345764,-122.406886504
181,37.7887345764,-122.406886504
182,37.7887345764,-122.406886504
183,37.7887345764,-122.406886504
184,37.7320374278,-122.380028764
185,37.7878271137,-122.408384276
186,37.7867259286,-122.412755326
187,37.7424057567,-122.489090192
188,37.778632049,-122.410111374
189,37.7840890367,-122.411800135
190,37.7773983117,-122.422254495
191,37.7754207067,-122.403404791
192,37.7869881885,-122.410699658
193,37.7869881885,-122.410699658
194,37.7869881885,-122.410699658
195,37.7869881885,-122.410699658
196,37.7869881885,-122.410699658
197,37.7869881885,-122.410699658
198,37.7869881885,-122.410699658
199,37.7869881885,-122.410699658
200,37.7869881885,-122.410699658
201,37.7869881885,-122.410699658
202,37.7854574903,-122.400916029
203,37.7854574903,-122.400916029
204,37.7854574903,-122.400916029
205,37.7854574903,-122.400916029
206,37.7854574903,-122.400916029
207,37.7869881885,-122.410699658
208,37.7869881885,-122.410699658
209,37.7869881885,-122.410699658
210,37.7869881885,-122.410699658
211,37.7869881885,-122.410699658
212,37.7869881885,-122.410699658
213,37.7869881885,-122.410699658
214,37.7869881885,-122.410699658
215,37.7869881885,-122.410699658
216,37.7869881885,-122.410699658
217,37.7869881885,-122.410699658
218,37.7869881885,-122.410699658
219,37.7869881885,-122.410699658
220,37.7869881885,-122.410699658
221,37.7869881885,-122.410699658
222,37.7869881885,-122.410699658
223,37.7869881885,-122.410699658
224,37.7594227506,-122.419058868
225,37.7594227506,-122.419058868
226,37.7546172382,-122.418738266
227,37.796204621,-122.423682814
228,37.7878271137,-122.408384276
229,37.7878271137,-122.408384276
230,37.7878271137,-122.408384276
231,37.7854574903,-122.400916029
232,37.7854574903,-122.400916029
233,37.7227270384,-122.436194485
234,37.7841847091,-122.418562097
235,37.7571005796,-122.417812559
236,37.787965257,-122.418467748
237,37.787965257,-122.418467748
238,37.787965257,-122.418467748
239,37.7586968166,-122.417964484
240,37.7586968166,-122.417964484
241,37.7571005796,-122.417812559
242,37.7618358012,-122.419360353
243,37.7571005796,-122.417812559
244,37.7571005796,-122.417812559
245,37.7571005796,-122.417812559
246,37.7604330004,-122.41592985
247,37.7604330004,-122.41592985
248,37.787965257,-122.418467748
249,37.787965257,-122.418467748
250,37.7604330004,-122.41592985
251,37.7604330004,-122.41592985
252,37.7604330004,-122.41592985
253,37.7586968166,-122.417964484
254,37.787965257,-122.418467748
255,37.787965257,-122.418467748
256,37.7604330004,-122.41592985
257,37.7570361132,-122.418904205
258,37.7604330004,-122.41592985
259,37.787965257,-122.418467748
260,37.787965257,-122.418467748
261,37.7635718956,-122.417332583
262,37.7603656932,-122.417028392
263,37.7586968166,-122.417964484
264,37.7620347867,-122.416078424
265,37.7481664084,-122.418221946
266,37.7604330004,-122.41592985
267,37.7604330004,-122.41592985
268,37.7604330004,-122.41592985
269,37.7586968166,-122.417964484
270,37.787965257,-122.418467748
271,37.787965257,-122.418467748
272,37.787965257,-122.418467748
273,37.7572322279,-122.415629332
274,37.787965257,-122.418467748
275,37.787965257,-122.418467748
276,37.787965257,-122.418467748
277,37.7571005796,-122.417812559
278,37.7604330004,-122.41592985
279,37.7604330004,-122.41592985
280,37.7604330004,-122.41592985
281,37.7604330004,-122.41592985
282,37.7531779939,-122.403409085
283,37.788082534,-122.410059856
284,37.7650501215,-122.41967178
285,37.7586324052,-122.419052694
286,37.7604330004,-122.41592985
287,37.7864094034,-122.408040475
288,37.7586968166,-122.417964484
289,37.787965257,-122.418467748
290,37.787965257,-122.418467748
291,37.7634954373,-122.418486297
292,37.787965257,-122.418467748
293,37.7604330004,-122.41592985
294,37.7604330004,-122.41592985
295,37.7604330004,-122.41592985
296,37.7604330004,-122.41592985
297,37.7604330004,-122.41592985
298,37.7604330004,-122.41592985
299,37.7652491154,-122.41638971
300,37.7874861572,-122.418368839
301,37.787965257,-122.418467748
302,37.7870372044,-122.418274172
303,37.7549624154,-122.426635077
304,37.7635718956,-122.417332583
305,37.787359495,-122.408231026
306,37.7878718776,-122.411702003
307,37.7588312135,-122.415781282
308,37.7586968166,-122.417964484
309,37.787359495,-122.408231026
310,37.7590272974,-122.412502864
311,37.787359495,-122.408231026
312,37.7868262082,-122.419930112
313,37.787359495,-122.408231026
314,37.7604330004,-122.41592985
315,37.787359495,-122.408231026
316,37.787359495,-122.408231026
317,37.7882933915,-122.40840386
318,37.765181804,-122.417488324
319,37.7572322279,-122.415629332
320,37.7646048757,-122.405466576
321,37.7864094034,-122.408040475
322,37.7588312135,-122.415781282
323,37.7586968166,-122.417964484
324,37.7572322279,-122.415629332
325,37.7571005796,-122.417812559
326,37.760301234,-122.418120086
327,37.7629167767,-122.412173946
328,37.7650501215,-122.41967178
329,37.787359495,-122.408231026
330,37.7617009782,-122.411090795
331,37.787148808,-122.409876623
332,37.755504342,-122.41766064
333,37.7531779939,-122.403409085
334,37.7586968166,-122.417964484
335,37.7882933915,-122.40840386
336,37.760301234,-122.418120086
337,37.760301234,-122.418120086
338,37.7586968166,-122.417964484
339,37.7619029613,-122.418272166
340,37.7586968166,-122.417964484
341,37.7605000726,-122.414845139
342,37.7586968166,-122.417964484
343,37.755504342,-122.41766064
344,37.787359495,-122.408231026
345,37.7604330004,-122.41592985
346,37.7586968166,-122.417964484
347,37.7586968166,-122.417964484
348,37.7604330004,-122.41592985
349,37.7571677817,-122.416720982
350,37.760301234,-122.418120086
351,37.7586968166,-122.417964484
352,37.7603656932,-122.417028392
353,37.7589178813,-122.415239912
354,37.7609899089,-122.412056242
355,37.7579459515,-122.416863556
356,37.7596123169,-122.415921585
357,37.7677177521,-122.415605496
358,37.7878271137,-122.408384276
359,37.7254765726,-122.463079076
360,37.7603888134,-122.417577215
361,37.7612142237,-122.416070933
362,37.7570790191,-122.417260521
363,37.7242085323,-122.460301751
364,37.7432215533,-122.473030392
365,37.7588083436,-122.415229421
366,37.7589402059,-122.413045094
367,37.7580118295,-122.415770264
368,37.7622630617,-122.412179604
369,37.7639259195,-122.405468776
370,37.7425626183,-122.488025948
371,37.7882184508,-122.418445946
372,37.7578884408,-122.417817853
373,37.7627583408,-122.41718521
374,37.7596123169,-122.415921585
375,37.7869881885,-122.410699658
376,37.7754207067,-122.403404791
377,37.7895016292,-122.41027135
378,37.7246926894,-122.459564595
379,37.7869881885,-122.410699658
380,37.783695227,-122.410791678
381,37.7648181686,-122.469655723
382,37.7555244882,-122.418208517
383,37.7648250318,-122.412422725
384,37.7607866652,-122.498974694
385,37.7594801326,-122.418108926
386,37.7594884557,-122.417970955
387,37.7594884557,-122.417970955
388,37.7163046735,-122.440593032
389,37.7913046529,-122.400180244
390,37.790463178,-122.405941469
391,37.7965510481,-122.405283981
392,37.7258401277,-122.402780926
393,37.793524904,-122.405396537
394,37.7755496262,-122.502148729
395,37.7108555178,-122.404079634
396,37.7611477648,-122.417169895
397,37.794611818,-122.403994863
398,37.7584203037,-122.418963082
399,37.7854574903,-122.400916029
400,37.7556559649,-122.416025191
401,37.7912255174,-122.404195425
402,37.7887345764,-122.406886504
403,37.7887345764,-122.406886504
404,37.7887345764,-122.406886504
405,37.7887345764,-122.406886504
406,37.7887345764,-122.406886504
407,37.7887345764,-122.406886504
408,37.7887345764,-122.406886504
409,37.7887345764,-122.406886504
410,37.7887345764,-122.406886504
411,37.7594884557,-122.417970955
412,37.7878271137,-122.408384276
413,37.7869881885,-122.410699658
414,37.7887345764,-122.406886504
415,37.7887345764,-122.406886504
416,37.7887345764,-122.406886504
417,37.7887345764,-122.406886504
418,37.7887345764,-122.406886504
419,37.7887345764,-122.406886504
420,37.7887345764,-122.406886504
421,37.7887345764,-122.406886504
422,37.7887345764,-122.406886504
423,37.7887345764,-122.406886504
424,37.7887345764,-122.406886504
425,37.7887345764,-122.406886504
426,37.7887345764,-122.406886504
427,37.7887345764,-122.406886504
428,37.7887345764,-122.406886504
429,37.7887345764,-122.406886504
430,37.7887345764,-122.406886504
431,37.7878432562,-122.408247356
432,37.7878432562,-122.408247356
433,37.7863245886,-122.409155387
434,37.7754207067,-122.403404791
435,37.7424057567,-122.489090192
436,37.7939790012,-122.405490836
437,37.7855804362,-122.412857127
438,37.7726948237,-122.422188261
439,37.7423737279,-122.492316502
440,37.778632049,-122.410111374
441,37.7588520014,-122.416331137
442,37.7595544125,-122.416878691
443,37.7726948237,-122.422188261
444,37.7897596938,-122.404828019
445,37.732396601,-122.445474781
446,37.7424682354,-122.490170247
447,37.7612142237,-122.416070933
448,37.7870966496,-122.410721626
449,37.7859988324,-122.411747372
450,37.7427355501,-122.481592052
451,37.7897596938,-122.404828019
452,37.7899019823,-122.407114491
453,37.7883351248,-122.416032977
454,37.7625630892,-122.478194247
455,37.7621213524,-122.415543548
456,37.7878271137,-122.408384276
457,37.7754207067,-122.403404791
458,37.7644227956,-122.40940833
459,37.7594884557,-122.417970955
460,37.7595460925,-122.417016664
461,37.7837069302,-122.408595111
462,37.7854574903,-122.400916029
463,37.7854574903,-122.400916029
464,37.7854574903,-122.400916029
465,37.7854574903,-122.400916029
466,37.7854574903,-122.400916029
467,37.7854574903,-122.400916029
468,37.7854574903,-122.400916029
469,37.7854574903,-122.400916029
470,37.7854574903,-122.400916029
471,37.7869881885,-122.410699658
472,37.7869881885,-122.410699658
473,37.7869881885,-122.410699658
474,37.7869881885,-122.410699658
475,37.7869881885,-122.410699658
476,37.7869881885,-122.410699658
477,37.7869881885,-122.410699658
478,37.7869881885,-122.410699658
479,37.7869881885,-122.410699658
480,37.7869881885,-122.410699658
481,37.7869881885,-122.410699658
482,37.7869881885,-122.410699658
483,37.7869881885,-122.410699658
484,37.7869881885,-122.410699658
485,37.7869881885,-122.410699658
486,37.7869881885,-122.410699658
487,37.7869881885,-122.410699658
488,37.7869881885,-122.410699658
489,37.7869881885,-122.410699658
490,37.7869881885,-122.410699658
491,37.7897596938,-122.404828019
492,37.788323545,-122.411857033
493,37.7108555178,-122.404079634
494,37.7827388378,-122.445217148
495,37.7869881885,-122.410699658
496,37.7869881885,-122.410699658
497,37.7869881885,-122.410699658
498,37.7594227506,-122.419058868
499,37.796204621,-122.423682814
500,37.7854574903,-122.400916029
501,37.7854574903,-122.400916029
502,37.7941711833,-122.403904789
503,37.7946373197,-122.406981047
